searchTerm: Hammer, productCode: 4567183, weight: 0.5, features: categoryNameMatch=1.767117,nameMatch=0.0,priceFeature=391.0,originalScore=123.69818
searchTerm: Bosch, productCode: 4567196, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=113.0,originalScore=85.58752
searchTerm: Bosch, productCode: 4567189, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=178.0,originalScore=85.17623
searchTerm: Bosch, productCode: 4567188, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=49.0,originalScore=84.76951
searchTerm: Bosch, productCode: 4567223, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=127.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567194, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=62.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567193, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=161.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567192, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=131.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567191, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=166.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567190, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=158.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567187, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=111.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567186, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=137.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567185, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=133.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567184, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=510.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567183, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=391.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567182, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=157.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567181, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=210.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567180, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=130.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567179, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=109.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567177, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=153.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567176, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=237.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567175, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=125.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567174, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=105.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567173, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=206.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567167, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=288.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567165, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=246.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567163, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=172.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567162, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=128.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567134, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=78.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567133, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=12.0,originalScore=84.709
searchTerm: Bosch, productCode: 4567131, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=0.0,priceFeature=34.0,originalScore=84.709
searchTerm: Screwdriver, productCode: CONF_SCREWDRIVER_S, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.3640294,priceFeature=99.0,originalScore=231.1272
searchTerm: Screwdriver, productCode: 321654DD, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=449.0,originalScore=226.23941
searchTerm: Screwdriver, productCode: 3921095, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=120.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: 3920606, weight: 0.5, features: categoryNameMatch=0.0,nameMatch=1.1945865,priceFeature=89.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: 3881339, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=26.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: 3881338, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=17.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: 3881076, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=19.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: 3881074, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=35.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: 3795253, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.1945865,priceFeature=10.0,originalScore=202.41605
searchTerm: Screwdriver, productCode: CONF_SCREWDRIVER_S-STD-4-9, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.0625893,priceFeature=119.0,originalScore=180.04985
searchTerm: Screwdriver, productCode: CONF_SCREWDRIVER_S-STD-2-12, weight: 0.5, features: categoryNameMatch=1.0047618,nameMatch=1.0625893,priceFeature=119.0,originalScore=180.04985
